Periode,Data
1,3980
2,4039
3,3878
4,3809
5,3829
6,3798
7,3730
8,3705
9,3701
10,3782
11,3827
12,3759
13,3747
14,3666
15,3617
16,3638
17,3570
18,3598
19,3481
20,3541
21,3616
22,3489
23,3531
24,3703
25,3688
26,3553
27,3586
28,3630
29,3629
30,3604
31,3658
32,3590
33,3524
34,3923
35,3934
36,3781
37,3749
38,3778
39,3783
40,3696
41,3745
42,3652
43,3649
44,3584
45,3458
46,3404
47,3344
48,3410
49,3316
50,3399
51,3415
52,3460
53,3542
54,3364
55,3633
56,3550
57,3648
58,3584
59,3461
60,3487
61,3421
62,3457
63,3317
64,3254
65,3279
66,3136
67,3127
68,3127
69,3096
70,3128
71,3155
72,3169
73,3114
74,3112
75,3084
76,3027
77,2989
78,2993
79,3096
80,2980
81,3062
82,3011
83,2941
84,2774
85,2697
86,2670
87,2488
88,2472
89,2322
90,2343
91,2525
92,2554
93,2729
94,2605
95,2678
96,2713
97,2503
98,2382
99,2554
100,2499
101,2550
102,2472
103,2448
104,2477
105,2477
106,2431
107,2532
108,2425
109,2567
110,2684
111,2626
112,2643
113,2621
114,2550
115,2446
116,2519
117,2616
118,2463
119,2484
120,2355
121,2356
122,2302
123,2272
124,2324
125,2269
126,2299
127,2284
128,2279
129,2326
130,2351
131,2335
132,2360
133,2269
134,2275
135,2226
136,2208
137,2191
138,2149
139,2126
140,2152
141,2187
142,2141
143,2089
144,2107
145,2031
146,1984
147,1983
148,1981
149,2016
150,1951
151,1951